UTC Time,MES, R_Run, S_S, VN, UR_V, L_OP1I, L_OP1O, L_OP2I, L_OP2O, DI, DO, J_V_0, J_V_1, J_V_2, J_V_3, J_V_4, J_V_5, J_P_0, J_P_1, J_P_2, J_P_3, J_P_4, J_P_5, J_C_0, J_C_1, J_C_2, J_C_3, J_C_4, J_C_5, TCP_F_0, TCP_F_1, TCP_F_2, TCP_T_0, TCP_T_1, TCP_T_2,Label
1:54:51 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.02352678,0.1077113,-0.09513851,-1.591692,0.5918158,-0.1141958,2.218772,-0.9087458,-0.5363698,0.06448232,-0.01418912,-0.2520909,Normal
1:54:51 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.05086517,0.09495485,-0.1061642,-1.601512,0.6637418,-0.1491782,2.199107,-0.6845625,-0.8136215,0.05571998,-0.0220594,-0.2582882,Normal
1:54:52 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.05880624,0.1051665,-0.1110765,-1.619137,0.658758,-0.1943913,2.336492,-0.288967,-0.8624946,0.05049326,-0.02371446,-0.2614737,Normal
1:54:52 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.05090581,0.107161,-0.08169822,-1.613842,0.6743585,-0.1370185,2.103139,-0.7608951,-0.7144227,0.058932,-0.02112556,-0.2552634,Normal
1:54:53 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.04852129,0.1181129,-0.09725659,-1.59151,0.6536529,-0.1948538,2.134316,-0.4283585,-0.6695525,0.05141812,-0.01699463,-0.2512612,Normal
1:54:53 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.05467805,0.1028055,-0.08666386,-1.708161,0.6124386,-0.1566827,1.9948,-0.7607685,-0.4100566,0.06310721,-0.01205892,-0.2504897,Normal
1:54:54 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.08992516,0.1106812,-0.1116232,-1.665355,0.6385504,-0.1594759,1.976961,-0.7763183,-0.2684671,0.05936096,-0.006441822,-0.2465135,Normal
1:54:54 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.06361464,0.1140436,-0.1011801,-1.676785,0.664254,-0.1336911,2.082742,-0.5443949,-0.6853295,0.05533914,-0.0191006,-0.2564787,Normal
1:54:55 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.08959077,0.1046833,-0.09495132,-1.668621,0.6485297,-0.170303,2.17322,-0.9005851,-0.3289554,0.06519327,-0.01063835,-0.2487868,Normal
1:54:55 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.105229,0.1060198,-0.1245071,-1.687694,0.6950693,-0.1689511,2.221552,-0.4365621,-0.6400919,0.05336035,-0.01738891,-0.256923,Normal
